feature,importance
d_rtg,0.1808743424943786
o_rtg,0.1496870282004795
age,0.11644312559592172
Strength of Schedule,0.10484715742260799
ts_percent,0.08257996004991273
opp_e_fg_percent,0.07698992586672518
e_fg_percent,0.06217426297067104
attend_g,0.06113775929532077
tov_percent,0.02635987446227504
pace,0.023314525509207994
drb_percent,0.022970864419054833
opp_tov_percent,0.020872876001107373
orb_percent,0.013032179722325711
ft_fga,0.012658272887303272
3pt Attempt Rate,0.012492090281091646
opp_ft_fga,0.012054343416816134
f_tr,0.0112443824426649
season,0.01026702896213562
